size,current,naive,protty,multi,streaming
4,1.383867269984917,1.999267846247712,2.5673286123248453,2.994790555978675,2.5700392156862746
8,2.570814725407363,3.595391648887534,5.134657224649691,5.988668900395979,5.140078431372549
12,3.599780286847727,4.492185833968012,7.703146473779386,8.998077803203662,7.655845439568669
16,4.472811033698279,5.119230884782936,8.949439544807966,10.284810623208088,10.269314449299381
20,6.913080168776371,5.602963807352522,11.225121324578932,12.85601327901011,12.647980997624703
24,7.684618159951895,5.9578181818181815,13.500978540772532,15.408614920874152,15.38311164610292
28,8.285707405177604,6.25381399575886,15.733135181480424,17.97671740768651,17.96588642867902
32,8.936727272727273,6.501228988702122,17.896333380742426,20.446209689515523,20.412530697813718
36,11.454604123095308,6.665180051227964,11.437517899761337,9.757954579636035,8.74590747330961
40,11.982812738077099,6.92142426071213,12.693206197854588,11.23634804972139,9.985677281730915
44,6.5975838926174495,7.059090087375716,14.12030736778665,12.356451935437795,10.995973154362416
48,12.684387096774193,7.18968764284626,15.403971673949073,13.495186615186615,11.757093735984451
52,16.352552783109406,7.305713877376018,16.70777492834515,14.57601368691189,12.983358732093874
56,16.773382084095065,7.40791544333529,17.998418590614154,15.733135181480424,13.969305724725944
60,16.854522074582082,7.498398169336385,19.24916403072752,16.84489504498072,14.976234003656307
64,16.937350954478706,22.115191322687554,20.275900639595417,17.98329569815635,15.996582761250954
68,23.20030938569091,21.314872700515085,20.364575780654988,20.392532031726663,16.97047981721249
72,23.095518072289156,20.21964862162548,21.58879975598597,21.261303694803242,17.96874333587205
76,22.76734420234649,20.107199060481502,22.75694182150472,22.760408225437928,18.97278683528874
80,22.495194508009153,18.92463182211955,23.95467560158392,23.965625476154198,19.99267846247712
84,29.03493670886076,18.821309831332623,25.144750304506697,25.19077486272117,20.963533891850723
88,28.253385589388,17.90551676555816,26.306072677512542,26.358171846435102,21.97183785431271
92,27.568870598994057,17.24368517388652,27.560469297577328,27.556270566727605,22.963558805606336
96,26.99809469317694,15.848636821649633,28.433817414884004,28.763133191100273,23.991214154972543
100,32.08677312443507,15.458847437944549,28.06680942184154,28.123015305392645,24.998474214220323
104,31.155313119000457,15.072410437859354,28.550336633663367,29.2437528604119,25.946946855489568
108,29.66650205761317,14.45003118040089,30.37285652982406,30.325141388174806,26.973658536585365
112,16.153239436619717,14.397352353780313,31.439314677327243,31.45278674475075,27.955636806825108
116,37.26556862745098,14.107363420427554,32.511087669280116,32.55749892933619,28.90561216730038
120,35.9374866717441,13.845633802816902,33.74279176201373,33.71867943404316,29.712558561281547
124,34.82272818168833,13.596478286734087,34.624899872177245,34.624899872177245,30.852179195140472
128,33.83991785242775,33.04020624462905,35.94604199400086,35.44981546696718,31.94929920780012
132,42.40564705882353,32.41924748913206,34.80551280175567,37.06935580631338,32.992951945080094
136,40.785064063453326,30.04797123164519,35.949639190378406,38.23636207636208,33.987553386211104
140,39.33845933971702,29.550300601202405,36.764330467725486,39.14266211604095,34.65941372015715
144,20.107636363636363,28.120333730631703,38.11463651050081,40.48555984555985,35.95391648887534
148,47.50273658830621,27.73561079762086,39.16762408223201,41.20360237892948,35.80673360897814
152,45.51388364300944,26.29744456177402,39.863282887078,42.24542832909245,37.70999394306481
156,43.75923526893993,25.96709433962264,40.764019138755984,43.79047401484866,38.991670480549196
160,42.34337738619677,23.958324447829398,42.2874908344332,44.3873006914068,39.991456903127386
164,49.122047531992685,22.799966058549003,40.922570819372524,43.40833602584814,38.77869822485207
168,47.15897201599086,22.116604821037253,41.74900652206886,44.25260450160772,39.49651312957383
172,45.20712848184337,19.817496483825597,42.98425869432581,45.459052647015696,40.670342040698515
176,43.923594821020565,20.650128902893155,43.98389261744966,46.170922852983985,41.60415524455345
180,53.922657321346946,20.24876411351846,44.6160363086233,47.37888126186651,42.555844155844156
184,51.74634816192247,19.709359291006827,45.92012185833968,48.630614459598185,43.52036956835571
188,49.753468428781204,19.003103921030984,46.66957575757576,49.1472468813461,44.49858422421266
192,47.982428309945085,35.45148009015778,47.24024628322571,50.70780773739742,45.465067206243674
196,58.61753574688165,34.89998550934647,46.08587830080367,51.72632010543271,46.092493182144395
200,56.17371428571428,35.627718179182374,46.92539023342403,52.597110754414125,45.94503645541223
204,52.320614771595274,35.43827930930021,48.29965317919075,53.99573505654281,48.250844521437855
208,29.9944726419246,34.393171856978086,48.97775222765162,54.70897840046702,48.57978617248752
212,59.357584733694104,34.011979511901174,49.9124586865929,55.67170042255574,49.36623081296191
