size,current,naive,protty
1,0.908203125,0.41015625,0.595703125
2,1.015625,0.546875,0.546875
3,1.328125,0.751953125,0.556640625
4,1.552734375,0.947265625,0.556640625
5,2.119140625,1.171875,0.458984375
6,2.4423828125,1.38671875,0.576171875
7,2.177734375,1.513671875,0.46875
8,3.095703125,1.7578125,0.46875
9,3.017578125,1.953125,0.771484375
10,3.33984375,2.138671875,0.78125
11,3.3984375,2.353515625,0.771484375
12,3.642578125,2.587890625,0.95703125
13,3.701171875,2.783203125,0.78125
14,4.169921875,3.017578125,0.771484375
15,4.90234375,3.22265625,0.947265625
16,5.126953125,1.19140625,0.771484375
17,4.921875,1.2890625,0.5859375
18,5.6640625,1.484375,0.498046875
19,5.537109375,1.4951171875,0.5859375
20,6.025390625,1.689453125,0.595703125
21,5.83984375,1.73828125,0.5859375
22,5.56640625,1.85546875,0.5859375
23,6.46484375,2.041015625,0.5859375
24,10.380859375,2.197265625,0.498046875
25,6.455078125,2.3828125,0.5078125
26,7.20703125,2.568359375,0.5078125
27,6.943359375,2.802734375,0.498046875
28,8.017578125,2.98828125,0.5859375
29,7.67578125,3.232421875,0.595703125
30,8.10546875,3.4375,0.5859375
31,8.544921875,3.759765625,0.498046875
32,8.80859375,1.943359375,0.5087890625
33,4.1904296875,1.9921875,0.5859375
34,4.1796875,2.01171875,0.5859375
35,4.1015625,2.041015625,0.5859375
36,5.361328125,2.08984375,0.5859375
37,4.90234375,2.1484375,0.5859375
38,5.64453125,2.265625,0.5859375
39,6.5625,2.392578125,0.5859375
40,6.259765625,2.55859375,0.595703125
41,6.796875,2.71484375,0.595703125
42,6.5234375,2.861328125,0.5859375
43,6.46484375,3.02734375,0.5859375
44,6.220703125,3.271484375,0.5859375
45,7.431640625,3.505859375,0.5859375
46,8.095703125,3.779296875,0.5859375
47,7.060546875,3.994140625,0.5859375
48,8.662109375,2.607421875,0.5859375
49,7.67578125,2.705078125,0.5859375
50,7.880859375,2.724609375,0.5859375
51,7.529296875,2.7734375,0.5859375
52,9.7666015625,2.822265625,0.595703125
53,9.7470703125,2.822265625,0.5859375
54,8.9853515625,2.880859375,0.595703125
55,10.8408203125,2.919921875,0.5859375
56,21.6611328125,2.978515625,0.5859375
57,8.662109375,3.06640625,0.634765625
58,9.990234375,3.232421875,0.595703125
59,8.779296875,3.3984375,0.5966796875
60,10.673828125,3.623046875,0.5859375
61,10.6357421875,3.916015625,0.595703125
62,11.6015625,4.19921875,0.595703125
63,10.5078125,4.453125,0.595703125
64,12.87109375,3.30078125,0.595703125
65,6.708984375,3.37890625,1.298828125
66,7.197265625,3.408203125,1.298828125
67,7.94921875,3.4375,1.30859375
68,7.24609375,3.466796875,1.3095703125
69,7.40234375,3.49609375,1.30859375
70,7.509765625,3.5458984375,1.30859375
71,7.67578125,3.5849609375,1.30859375
72,8.447265625,3.642578125,1.30859375
73,8.4580078125,3.681640625,1.30859375
74,9.3271484375,3.740234375,1.298828125
75,8.9453125,3.837890625,1.30859375
76,9.248046875,3.935546875,1.30859375
77,9.345703125,4.140625,1.30859375
78,9.873046875,4.443359375,1.30859375
79,10.91796875,4.912109375,1.30859375
80,10.25390625,4.0048828125,1.30859375
81,11.669921875,4.1123046875,1.30859375
82,10.7919921875,4.150390625,1.30859375
83,11.162109375,4.208984375,1.30859375
84,11.181640625,4.248046875,1.30859375
85,11.71875,4.287109375,1.30859375
86,11.552734375,4.3359375,1.484375
87,11.23046875,4.375,1.30859375
88,11.50390625,4.4140625,1.298828125
89,12.451171875,4.47265625,1.484375
90,12.51953125,4.51171875,1.30859375
91,13.564453125,4.541015625,1.30859375
92,12.8037109375,4.599609375,1.30859375
93,12.919921875,4.66796875,1.30859375
94,12.83203125,4.9609375,1.298828125
95,12.94921875,5.21484375,1.30859375
96,14.4638671875,4.619140625,1.30859375
